Brand,Capacity,Load_type,Spin_speed,Machine_type,Motor_warranty,Offer_price,Original_price,Discount,Ratings,Quality
SAMSUNG ,5 kg,Top Load,1350 rpm,Semi Automatic,,"₹9,690","₹12,500",22% off,4.4,"39,769 Ratings & 2,761 Reviews"
Whirlpool ,7 kg,Top Load,1400 rpm,Semi Automatic,5 Years Warranty,"₹9,990","₹13,250",24% off,4.4,"27,131 Ratings & 1,912 Reviews"
FOXSKY ,5 kg,Top Load,1300 rpm,Semi Automatic,2 Years Warranty,"₹7,690","₹18,490",58% off,4.1,518 Ratings & 33 Reviews
LG ,7 kg,,1200 rpm,,10 Years Warranty,"₹28,990","₹43,990",34% off,4.4,"22,237 Ratings & 1,824 Reviews"
MarQ ,5 kg,Top Load,1350 rpm,Semi Automatic,2 Years Warranty,"₹8,190","₹14,990",45% off,4.3,"54,357 Ratings & 5,535 Reviews"
SAMSUNG ,8 kg,Front Load,1400 rpm,Automatic,20 years warranty,"₹34,990","₹55,900",37% off,4.3,"15,043 Ratings & 1,159 Reviews"
Lloyd ,8 kg,,1300 rpm,Semi Automatic,2 Years Warranty,"₹10,990","₹17,890",38% off,4.3,"1,159 Ratings & 85 Reviews"
realme ,5 kg,Top Load,700 rpm,Automatic,,"₹12,690","₹19,990",36% off,4.1,"26,803 Ratings & 2,587 Reviews"
Thomson ,5 kg,Top Load,1400 RPM,Semi Automatic,5 Years Warranty,"₹7,499","₹11,499",34% off,4.1,"19,634 Ratings & 1,740 Reviews"
realme ,7 kg,Top Load,1400 RPM,Semi Automatic,,"₹7,990","₹12,490",36% off,4.2,"76,352 Ratings & 7,073 Reviews"
ONIDA ,7 kg,,780 rpm,,7 Years Warranty,"₹5,850",,,4.2,"28,931 Ratings & 3,128 Reviews"
MOTOROLA ,8 kg,,1400 rpm,,10 Years Warranty,"₹21,990","₹39,990",45% off,4.1,"2,107 Ratings & 245 Reviews"
Voltas ,5 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹7,790","₹12,500",37% off,4.3,"14,645 Ratings & 1,044 Reviews"
Voltas ,9 kg,Top Load,1350 rpm,Semi Automatic,5 Years Warranty,"₹12,190","₹23,490",48% off,4.3,"14,645 Ratings & 1,044 Reviews"
SAMSUNG ,8 kg,Top Load,1300 RPM,Semi Automatic,,"₹12,990","₹15,990",18% off,4.4,"39,769 Ratings & 2,761 Reviews"
IFB ,6 kg,Front Load,1000 RPM,Automatic,10 Years Warranty,"₹22,990","₹31,690",27% off,4,"1,948 Ratings & 143 Reviews"
realme ,10 kg,Front Load,1400 RPM,Automatic,10 Years Warranty,"₹24,990","₹58,990",57% off,4.1,"1,248 Ratings & 155 Reviews"
Whirlpool ,7 kg,Top Load,740 rpm,Automatic,,"₹14,990","₹19,350",22% off,4.1,"29,661 Ratings & 2,021 Reviews"
LG ,7 kg,Top Load,1350 rpm,Semi Automatic,,"₹11,490","₹14,190",19% off,4.4,"40,617 Ratings & 2,653 Reviews"
Godrej ,5 kg,Top Load,720 rpm,Automatic,10 Years Warranty,"₹13,290","₹17,900",25% off,4.2,"6,150 Ratings & 450 Reviews"
Thomson ,11 kg,Top Load,900 rpm,Automatic,5 Years Warranty,"₹15,999","₹21,499",25% off,4.2,"5,220 Ratings & 984 Reviews"
Thomson ,11 kg,Top Load,1400 RPM,Semi Automatic,2 Years Warranty,"₹10,999","₹16,499",33% off,4.1,"19,634 Ratings & 1,740 Reviews"
Godrej ,7 kg,,720 rpm,,10 Years Warranty,"₹13,990","₹27,000",48% off,4.2,"6,150 Ratings & 450 Reviews"
Voltas ,5 kg,Top Load,1350 rpm,Semi Automatic,1 Year Warranty,"₹10,790","₹19,990",46% off,4.3,"14,645 Ratings & 1,044 Reviews"
Whirlpool ,11 kg,,1400 RPM,Semi Automatic,4 Years Warranty,"₹16,990","₹21,950",22% off,4.4,"27,131 Ratings & 1,912 Reviews"
Whirlpool ,8 kg,Top Load,740 rpm,Automatic,,"₹18,990","₹23,700",19% off,4.1,"29,661 Ratings & 2,021 Reviews"
Haier ,7 kg,,1300 RPM,,5 Years Warranty,"₹8,990","₹15,500",42% off,4.3,"2,540 Ratings & 144 Reviews"
IFB ,7 kg,,1200 RPM,,10 Years Warranty,"₹28,990","₹36,590",20% off,4.3,"86,882 Ratings & 8,633 Reviews"
Thomson ,5 kg,Top Load,1400 RPM,Semi Automatic,5 Years Warranty,"₹7,499","₹11,499",34% off,4.1,"19,634 Ratings & 1,740 Reviews"
